################################################################################
# Pattern for testbench of the uGMT algo block
# Data format of muons:
# ID N PT PHI ETA CHARGE CHARGE_VALID QUALITY SORT EMPTY (ISO)
# where ID = {EMTF+/-, OMTF+/-, BMTF, OUT, EIMD, BIMD, OIMD}
# N is the rank for IMD / OUT and the link for inputs.
# ISO is optional and only present for OUT
#
# Data format for tracks:
# ID ETA0 PHI0 QUALITY0 ETA1 PHI1 QUALITY1 ETA2 PHI2 QUALITY2
# where ID = {FTRK+/-, OTRK+/-, BTRK}
# Tracks are given always for 3 consecutive muons
#
#
# Data format for output of serializer:
# ID VALID0 WORD0 VALID1 WORD1 ... VALIDN WORDN
# where ID = FRMx, x being the current 240 MHz cycle
# In WordX the X represents the link number, meaning that muon0 is x(FRM0, WORD0) + x(FRM1, WORD0) << 32.
################################################################################
# Event: 0
################################################################################
# Calo sums:
CALO0   0  2 10 12 14 20 14 10 16 12 16 16 10  8  2  0  0  0  0  0  0  0  0  0  0  0  2  8  8 10 16 10  8  8  2  0
CALO1   0  2 10 12 14 20 14 10 16 12 16 16 10  8  2  0  0  0  0  0  0  0  0  0  1  2  4 11 12 13 20 14 10 10  2  0
CALO2   0  2 10 12 14 20 14 10 16 11 12 12  6  4  1  0  0  0  0  0  0  0  0  0  2  4  6 14 16 16 24 18 12 12  2  0
CALO3   0  2 10 12 14 20 14  9 12  6  4  4  1  0  0  2  2  2  2  3 16 16 16 16  8  4  6 14 16 15 20 14  8  8  1  0
CALO4  12 17 21 22 15 12  7  4  4  1  0  0  0  0  0  4  4  4  4  4 16 16 16 16  8  4 10 31 31 31 31 22  4  4  0  2
CALO5  18 22 24 24 12  6  6  3  4  4  3  2  0  0  0  4  4  6  8  8 20 24 23 31 31 31 31 31 31 31 31 24  5  4  0  7
CALO6  20 25 28 29 28 22 30 31 31 31 26 20  0  0  0  4  4  8 12 12 24 31 30 31 31 31 31 31 31 31 31 18  2  0  0  8
CALO7  20 26 31 31 31 31 31 31 31 31 31 31  0  2  2  6  6  9 12 11 16 24 22 31 31 31 31 31 31 31 31 18  2  0  0  8
CALO8  14 20 31 31 31 31 31 31 31 31 31 31  0  4  4  4  4  6  8  8  8 16 14 31 31 31 31 31 31 31 28 21 12  6  6 10
CALO9   6 19 31 31 31 31 31 31 31 31 31 31  0  4  4  4  4  6  8  8  8 24 22 31 31 31 31 31 11 10 10 22 20 13 12 10
CALO10 10 31 31 31 31 31 31 31 31 31 31 31  4  8  8  6  4  2  0  0  0  8  8 13 24 22 18 18  8  8  8 20 20 14 16 14
CALO11 16 31 31 31 31 31 31 31 31 31 31 18  4  8  8  6  8  6  4  4  2  8  8  8 12 12  8 12 14 12 20 30 28 24 24 18
CALO12 20 31 31 31 31 31 31 31 31 31 31 18  4  4  4  4  8  8  8 31 31 31 31 31 31 31 31 31 31 16 24 31 29 26 28 22
CALO13 20 31 31 31 31 31 31 31 31 31 31 30 12 12 12  8  8  8  8 31 31 31 31 31 31 31 31 31 31 31 28 24 18 14 16 16
CALO14 26 28 22 26 31 31 31 31 31 31 31 31 14 14 14  7  8  8  8 31 31 31 31 31 31 31 31 31 31 31 24 20 22 24 26 24
CALO15 26 12  8 10 16 15 16 27 31 28 30 31 12 12 12  6  8 10 10 31 31 31 31 31 31 31 31 31 31 31 18 15 26 31 31 30
CALO16 24 12 14 24 30 26 22 30 31 28 30 31 14 16 16  9  8  6  6 27 31 31 31 31 31 31 31 31 31 31 14 11 22 25 26 26
CALO17 22  6  8 16 20 16 12 22 26 24 26 30 10 12 12  6  6  4  4 10 31 31 31 31 31 31 31 31 31 23  8  2 16 24 24 24
CALO18 22  6  8 16 20 16 12 16 14 12 13 12  4  6  6  6 10  8  8 10 31 30 31 31 25 16 14 20 16  8  8  2 16 24 24 24
CALO19  4  8 10 16 22 18 14 16 11  8  8 10 10 14 16 22 21 22 18 16 24 19 22 25 22 12  8 16 12 12 12  6  0  0  1  2
CALO20  5 19 20 20 28 20 12 10  8  4  4  8 11 12 14 20 18 24 20 18 14 10 12 15 18 14  8 16 14 16 16 14  8  4  6  6
CALO21  4 16 16 12 20 14  8  8  8  4  4  8 10 10 12 20 18 26 22 19 17 13 14 16 17 10  5  8  8 10 10 12  8  4  6  6
CALO22  4 16 16 12 16 10  4  4  6  4  4  8 10 10 12 21 18 26 22 18 20 16 16 18 18  8  4  6  6  9 12 16 12  8  7  6
CALO23  4 16 16 12 16 10  4  4  6  4  4  6  6  5  6 12 10 16 14 15 19 18 18 18 16  8  4  5  4  8 14 18 16 12  8  6
CALO24  0  6 10 16 16 13  8  3  2  2  2  3  5  4  4  8  5  6  6  8 24 25 24 24 20  8  8  8  3  4 10 12 12 10  4  1
CALO25  0  0  4 16 16 16 14  6  0  0  0  2  8  8  8 12  6  4  4  6 22 24 24 24 20  8  8  8  2  2  8  8  8  8  2  0
CALO26  0  0  4 16 16 16 14  6  0  0  0  2  8  8  8  8  2  0  0  4 16 16 16 16 14  8  8  8  2  2  8  8  8  8  2  0
CALO27  0  0  2  8  8  8  7  3  0  0  0  1  4  4  4  4  1  0  0  2  8  8  8  8  7  4  4  4  1  0  0  0  0  0  0  0
#TYPE    POS    PT   PHI   ETA   CHR  VCHR  QUAL  RANK  EMPT (ISO) (IDX)
EMTF+      0     0     0     0     0     0     0     0     1
EMTF+      1     0     0     0     0     0     0     0     1
EMTF+      2     0     0     0     0     0     0     0     1
EMTF+      3     0     0     0     0     0     0     0     1
EMTF+      4     0     0     0     0     0     0     0     1
EMTF+      5     0     0     0     0     0     0     0     1
EMTF+      6     0     0     0     0     0     0     0     1
EMTF+      7     0     0     0     0     0     0     0     1
EMTF+      8     0     0     0     0     0     0     0     1
EMTF+      9     0     0     0     0     0     0     0     1
EMTF+     10     0     0     0     0     0     0     0     1
EMTF+     11     0     0     0     0     0     0     0     1
EMTF+     12     0     0     0     0     0     0     0     1
EMTF+     13     0     0     0     0     0     0     0     1
EMTF+     14     0     0     0     0     0     0     0     1
EMTF+     15     0     0     0     0     0     0     0     1
EMTF+     16     0     0     0     0     0     0     0     1
EMTF+     17     0     0     0     0     0     0     0     1
OMTF+      0     0     0     0     0     0     0     0     1
OMTF+      1     0     0     0     0     0     0     0     1
OMTF+      2     0     0     0     0     0     0     0     1
OMTF+      3     0     0     0     0     0     0     0     1
OMTF+      4     0     0     0     0     0     0     0     1
OMTF+      5     0     0     0     0     0     0     0     1
OMTF+      6     0     0     0     0     0     0     0     1
OMTF+      7     0     0     0     0     0     0     0     1
OMTF+      8     0     0     0     0     0     0     0     1
OMTF+      9     0     0     0     0     0     0     0     1
OMTF+     10     0     0     0     0     0     0     0     1
OMTF+     11     0     0     0     0     0     0     0     1
OMTF+     12     0     0     0     0     0     0     0     1
OMTF+     13     0     0     0     0     0     0     0     1
OMTF+     14     0     0     0     0     0     0     0     1
OMTF+     15     0     0     0     0     0     0     0     1
OMTF+     16     0     0     0     0     0     0     0     1
OMTF+     17     0     0     0     0     0     0     0     1
BMTF       0     0     0     0     0     0     0     0     1
BMTF       1     0     0     0     0     0     0     0     1
BMTF       2     0     0     0     0     0     0     0     1
BMTF       3     0     0     0     0     0     0     0     1
BMTF       4     0     0     0     0     0     0     0     1
BMTF       5     0     0     0     0     0     0     0     1
BMTF       6     0     0     0     0     0     0     0     1
BMTF       7     0     0     0     0     0     0     0     1
BMTF       8     0     0     0     0     0     0     0     1
BMTF       9     0     0     0     0     0     0     0     1
BMTF      10     0     0     0     0     0     0     0     1
BMTF      11     0     0     0     0     0     0     0     1
BMTF      12     0     0     0     0     0     0     0     1
BMTF      13     0     0     0     0     0     0     0     1
BMTF      14     0     0     0     0     0     0     0     1
BMTF      15     0     0     0     0     0     0     0     1
BMTF      16     0     0     0     0     0     0     0     1
BMTF      17     0     0     0     0     0     0     0     1
BMTF      18     0     0     0     0     0     0     0     1
BMTF      19     0     0     0     0     0     0     0     1
BMTF      20     0     0     0     0     0     0     0     1
BMTF      21     0     0     0     0     0     0     0     1
BMTF      22     0     0     0     0     0     0     0     1
BMTF      23     0     0     0     0     0     0     0     1
BMTF      24     0     0     0     0     0     0     0     1
BMTF      25     0     0     0     0     0     0     0     1
BMTF      26     0     0     0     0     0     0     0     1
BMTF      27     0     0     0     0     0     0     0     1
BMTF      28     0     0     0     0     0     0     0     1
BMTF      29     0     0     0     0     0     0     0     1
BMTF      30     0     0     0     0     0     0     0     1
BMTF      31     0     0     0     0     0     0     0     1
BMTF      32     0     0     0     0     0     0     0     1
BMTF      33     0     0     0     0     0     0     0     1
BMTF      34     0     0     0     0     0     0     0     1
BMTF      35     0     0     0     0     0     0     0     1
OMTF-      0     0     0     0     0     0     0     0     1
OMTF-      1     0     0     0     0     0     0     0     1
OMTF-      2     0     0     0     0     0     0     0     1
OMTF-      3     0     0     0     0     0     0     0     1
OMTF-      4     0     0     0     0     0     0     0     1
OMTF-      5     0     0     0     0     0     0     0     1
OMTF-      6     0     0     0     0     0     0     0     1
OMTF-      7     0     0     0     0     0     0     0     1
OMTF-      8     0     0     0     0     0     0     0     1
OMTF-      9     0     0     0     0     0     0     0     1
OMTF-     10     0     0     0     0     0     0     0     1
OMTF-     11     0     0     0     0     0     0     0     1
OMTF-     12     0     0     0     0     0     0     0     1
OMTF-     13     0     0     0     0     0     0     0     1
OMTF-     14     0     0     0     0     0     0     0     1
OMTF-     15     0     0     0     0     0     0     0     1
OMTF-     16     0     0     0     0     0     0     0     1
OMTF-     17     0     0     0     0     0     0     0     1
EMTF-      0     0     0     0     0     0     0     0     1
EMTF-      1     0     0     0     0     0     0     0     1
EMTF-      2     0     0     0     0     0     0     0     1
EMTF-      3     0     0     0     0     0     0     0     1
EMTF-      4     0     0     0     0     0     0     0     1
EMTF-      5     0     0     0     0     0     0     0     1
EMTF-      6     0     0     0     0     0     0     0     1
EMTF-      7     0     0     0     0     0     0     0     1
EMTF-      8     0     0     0     0     0     0     0     1
EMTF-      9     0     0     0     0     0     0     0     1
EMTF-     10     0     0     0     0     0     0     0     1
EMTF-     11     0     0     0     0     0     0     0     1
EMTF-     12     0     0     0     0     0     0     0     1
EMTF-     13     0     0     0     0     0     0     0     1
EMTF-     14     0     0     0     0     0     0     0     1
EMTF-     15     0     0     0     0     0     0     0     1
EMTF-     16     0     0     0     0     0     0     0     1
EMTF-     17     0     0     0     0     0     0     0     1
# OVERLAP/ENDCAP TRACKS
